data model	done	2026-08-08 10:27	50 cards stamped. Two dates are proxies, marked inline: memes-site git history starts 2024-08-24 (repo bootstrap) and pieza-site's remote points at an unrelated repo so its git history is not this project's.
recent rail	done	2026-08-08 10:36	6-card rail + self-expiring NEW badge; clones use data-echo-id so search/previews/sortable skip them
category nav	done	2026-08-08 10:36	11 sticky chips with live counts, IO scroll-spy, suppressed while searching, #group- deep links
search + palette	done	2026-08-08 10:36	Cmd+K palette (fuzzy ladder, recency tie-break); Enter-to-open + arrow walking in hero search; all 11 pills now 1:1 with DOM groups
terminal	done	2026-08-08 10:57	DOM-driven catalog replaces the hardcoded list, so a new card is reachable by every command with no terminal edit. 12 commands added (tools/categories/goto/open/search/new/random/whois/stats/theme/fortune + Tab completion). theme only sets the visitor cookie via NeoHeader.setTheme; fleet-wide CDN default deliberately not exposed - that belongs in an ops console, not a page anyone can open.
fixes	done	2026-08-08 10:57	Removed the duplicate legacy footer; single-sourced the tool count (43) from the DOM in hero + all meta/OG/JSON-LD; fixed 3 CSP directives incl. the two that made the terminal's Convex login impossible in prod; fixed the scroll-spy and deep-link offset. Console errors 8 -> 3, both remaining benign (meta frame-ancestors warning, awesomesites:8831 not running locally). Dead links pieza/cardforge diagnosed but NOT fixed - DNS and TLS, outside this repo.
awesome-feed	done	2026-08-11 17:55	Group markup, js/awesome-sites-hub.js, the script tag and the awesomesites CSP connect-src grant are gone. The Awesome Sites card stays in Productivity. catnav.js's hidden-group filter was dead once the feed left — replaced with an empty-group filter, which is the invariant the original comment was actually protecting.
soon-state	done	2026-08-11 18:05	data-status=soon is one attribute that the card markup, hero count, search count, rail, palette and terminal all read. Cards render as <div> so they cannot navigate to a reserved domain. Verified: hero 46→43, palette shows a Soon chip and Enter scrolls instead of navigating (URL unchanged), search reports '5 of 43 tools · 1 coming soon' on a mixed query and no longer says 'no results' when the only match is a Soon card.
entrance	done	2026-08-11 18:06	Measured on the running page: 50 cards, worst-case entrance delay 5390ms → 440ms. Rail echoes now carry no inline animation-delay (cleared in recent.js) and compute 0/60/120/180/240/300ms from --echo-delay as the CSS intended. Also fixed a latent reduced-motion bug in the same file: the old branch set opacity:1 but left cardEnter running at delay 0, so reduced-motion users got the animation anyway.
docs	done	2026-08-11 18:12	PROJECTS.md gains the hub's ownership rule + the Soon-card contract, a rigcheck-site row and a Rigcheck accent; HUB_REGISTRY.md gains a Soon-cards section with the markup and the flip-to-live steps; neorgon-site/CLAUDE.md documents data-status and warns entrance.js off a global counter. Caught two accent collisions while writing the docs: PROJECTS.md already reserved #22c55e for TickBox (I had used #16a34a) and #7c3aed belongs to CardForge (I had given it to Rigcheck) — both corrected in index.html, Rigcheck is now #0ea5e9.
run-the-checks	done	2026-08-14 09:31	make check runs the linter, regenerates the sheet, and fails if the sheet was stale. make hooks routes core.hooksPath at .githooks/ so it runs pre-commit, scoped to commits that touch assets/icons, index.html, css/style.css or scripts/icon-*. Verified: a README-only commit skips the check entirely.
search ranking	done	2026-08-15 22:02	Two defects, both fixed: scoreCard/rank() gives every match a score (name-exact 1000 down to loose 120) and syncCatalogMerge appends in that order; and the keyword blob is demoted to a fallback vocabulary that only expands a group when the query matched no card directly. Category labels still expand unconditionally because that is the pill-click path.
sticky header	done	2026-08-15 22:18	css/style.css:35 'body { overflow-x: hidden }' -> 'hidden' then 'clip'. clip cuts the horizontal overflow without making body a scroll container, so .header-bar and .cat-rail stick to the viewport in every engine, not only ones that propagate body overflow upward. Verified: computed overflow-x 'clip', overflow-y back to 'visible' (was 'auto' — that was the scroll container), header rectTop 0 at scrollY 1600, no horizontal overflow at 1280 or 375. HONEST LIMIT: could not reproduce the drifting header in this Chrome pane, where it was already sticky. What is fixed is the documented mechanism, not an observed symptom.
space + scroll cue	done	2026-08-15 22:18	Both shelves are one horizontal row at every width (were a 3-col grid, so 6 cards = 2 rows). Measured at 1280x800: Recently shipped 609px -> 379px, category rail y=1297 -> y=1132 (165px higher), and with favorites also showing the saving is ~340px. Recently shipped itself sits 74px LOWER (664 -> 738) because the hero grew, which is the other half of what was asked. Scroll cue is a chevron pair in the hero that retires on the first scroll and is also a button that jumps to the first live section below.
pill navigation	done	2026-08-15 22:18	Constellation no longer collapses during a search. Matched pills travel to the middle (spring 0.003 -> 0.014 — at 0.003 they crept a third of the way in the second a reader looks, so it read as a dim, not a move), unmatched take a peripheral ring (0.008 -> 0.02, radius 0.38W -> 0.46W) at 16% opacity, hover back to full. The connection web became a proximity route map: k=2 nearest neighbours re-derived every 40 frames, quadratic-bezier bows, and a tapered signal head that takes the colour of the pill it travels toward. Chips now render only when the pill cloud never booted — verified in exactly that state (hidden pane, rAF frozen, pills 0, chips 'Social').
hero copy	done	2026-08-15 22:18	Tailor-made lead. Badge 'Free · Local · No account' with an 8-phrase rotation; H1 'Made to fit' + one of four typed completions; sub 'N tools, each cut for one job. Nothing to sign up for, nothing phoning home — and none of them are finished.' The page title, meta description, OG/Twitter pairs and the JSON-LD description carried the retired heading and the paywall joke, so all seven moved together. Nothing else in the fleet quoted them (grepped PROJECTS.md, HUB_REGISTRY.md, llms.txt, README).
header auto-hide	done	2026-08-15 22:29	Auto-hide was welded to data-header-mode='app' in both the kit CSS and JS, so wanting the behaviour meant taking the slim 56px gradient bar with it. Added data-header-autohide='on' as an opt-in any mode can take, in the canonical packages/neorgon-ui/header/ (README documented), vendored to neorgon-site only via sync-header.sh --to. The hub keeps its transparent glass and now leaves on the way down. The docked category rail closes the 68px hole with one sibling rule, .header-bar.header-hidden ~ .cat-rail { top: 0 }, matched to the bar's own .26s — no JS and no second source of truth for the offset. Verified by driving the kit's own rAF-throttled listener with a synchronous rAF shim: visible at 60px (under its 80px threshold), hidden at 500/1500/2500 with the rail docked at 0, returns on a 200px scroll up, hides again on the next scroll down.
debrief + writeup	done	2026-08-17 09:45	Deck: docs/debrief-2026-08-17.yaml, 26 slides, eng audience, slides-site YAML. Dated filename because docs/debrief-2026-08.yaml already holds the Aug 13 pass and would have been clobbered. validate.mjs exit 0; geometry checked by walking all 26 slides in the player and measuring scrollHeight against clientHeight, zero overflow in either axis. Post: post/POST-planets.md (1768 words) plus blog/i-deleted-the-thing-i-defended.html, registered in blog/index.html, feed.xml and atom.xml, all three XML files re-parsed clean. Three diagrams from post/build-visuals-planets.mjs, which parses js/search.js for CATEGORIES membership, the SCORE table and the depth expression, so none of them can drift from the code. Two render defects caught and fixed in the generator rather than the SVG: overlapping pills in the depth field (added a separation pass) and a legend drawn through the last two rows of the score ladder (grew the canvas).
